index,latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v)
153,32.102848,34.812293,2,2,10,9,6,6,10,14,16447,48:08.3,48:08.3,16,0,0,16.023
154,32.102851,34.812297,2,2,9.85,11,6,6,10,14,16549,48:08.4,48:08.4,16,0,0,16.023
155,32.102854,34.8123,2,2,9.37,12,6,6,10,14,16653,48:08.5,48:08.5,16,0,0,16.023
156,32.102856,34.812304,2,2,8.91,14,6,6,10,14,16755,48:08.6,48:08.6,16,0,0,16.023
157,32.102859,34.812307,2,2,8.11,15,6,6,10,15,16861,48:08.7,48:08.7,16,0,0,16.023
158,32.102861,34.812311,2,2,7.48,16,6,6,10,16,16964,48:08.8,48:08.8,16,0,0,16.023
159,32.102862,34.812313,2,2,6.36,17,6,6,10,17,17067,48:08.9,48:08.9,16,0,0,15.99
160,32.102864,34.812316,2,2,5.87,18,6,6,10,18,17173,48:09.0,48:09.0,16,0,0,15.99
161,32.102865,34.812318,2,2,4.93,19,6,6,10,19,17278,48:09.1,48:09.1,16,0,0,15.99
162,32.102867,34.81232,2,2,4.61,20,6,6,10,20,17381,48:09.2,48:09.2,16,0,0,15.99
163,32.102868,34.812321,2,2,3.98,21,6,6,10,21,17485,48:09.3,48:09.3,16,0,0,15.99
164,32.102868,34.812322,2,2,3.36,21,6,6,10,21,17589,48:09.4,48:09.4,16,0,0,15.99
165,32.10287,34.812324,2,2,2.73,21,6,6,10,21,17696,48:09.5,48:09.5,16,0,0,15.99
166,32.10287,34.812324,1,1,2.24,22,6,6,10,22,17801,48:09.6,48:09.6,16,0,0,15.99
167,32.10287,34.812325,1,1,1.92,22,6,6,10,22,17904,48:09.7,48:09.7,16,0,0,15.99
168,32.102871,34.812325,1,1,1.43,22,6,6,10,22,18007,48:09.8,48:09.8,16,0,0,15.99
169,32.102871,34.812325,1,1,1.12,22,6,6,10,22,18110,48:09.9,48:09.9,16,0,0,15.992
170,32.102871,34.812325,1,1,0.63,22,6,6,10,22,18217,48:10.0,48:10.0,16,0,0,15.992
171,32.102871,34.812325,1,1,0.63,22,6,6,10,22,18320,48:10.1,48:10.1,16,0,0,15.992
172,32.102871,34.812324,2,2,0.32,22,6,6,10,22,18425,48:10.2,48:10.2,16,0,0,15.992
173,32.102871,34.812324,3,3,0,22,6,6,10,22,18531,48:10.3,48:10.3,16,0,0,15.992
174,32.102871,34.812324,3,3,0.22,22,6,6,10,22,18634,48:10.4,48:10.4,16,0,0,15.992
175,32.102871,34.812324,4,4,0.22,22,6,6,10,22,18740,48:10.6,48:10.6,16,0,0,15.992
176,32.10287,34.812324,4,4,0.22,22,6,6,10,22,18943,48:10.8,48:10.8,16,0,0,15.992
177,32.10287,34.812324,4,4,0.45,22,6,6,10,22,19047,48:10.9,48:10.9,16,0,0,15.992
178,32.10287,34.812324,4,4,0.45,22,6,6,10,22,19152,48:11.0,48:11.0,16,0,0,15.992
179,32.10287,34.812324,5,5,0.45,22,6,6,10,22,19256,48:11.1,48:11.1,16,0,0,16.195
180,32.10287,34.812325,5,5,0.45,22,6,6,10,22,19362,48:11.2,48:11.2,16,0,0,16.195
181,32.102869,34.812324,5,5,0.45,22,6,6,10,22,19465,48:11.3,48:11.3,16,0,0,16.195
182,32.102869,34.812325,5,5,0.5,22,6,6,10,22,19568,48:11.4,48:11.4,16,0,0,16.195
183,32.10287,34.812325,4,4,0.5,22,6,6,10,22,19670,48:11.5,48:11.5,16,0,0,16.195
184,32.10287,34.812325,4,4,0.5,22,6,6,10,22,19773,48:11.6,48:11.6,16,0,0,16.195
185,32.10287,34.812325,4,4,0.45,22,6,6,10,22,19878,48:11.7,48:11.7,16,0,0,16.195
186,32.10287,34.812325,4,4,0.32,22,6,6,10,22,19981,48:11.8,48:11.8,16,0,0,16.195
187,32.10287,34.812325,5,5,0.32,22,6,6,10,22,20083,48:11.9,48:11.9,16,0,0,16.195
188,32.10287,34.812325,5,5,0.32,22,6,6,10,22,20185,48:12.0,48:12.0,16,0,0,16.195
189,32.10287,34.812326,5,5,0.32,22,6,6,10,22,20288,48:12.1,48:12.1,16,0,0,15.949
190,32.10287,34.812326,4,4,0.32,22,6,6,10,22,20394,48:12.2,48:12.2,16,0,0,15.949
191,32.10287,34.812326,4,4,0.32,22,6,6,10,22,20497,48:12.3,48:12.3,16,0,0,15.949
192,32.10287,34.812326,4,4,0.22,22,6,6,10,22,20601,48:12.4,48:12.4,16,0,0,15.949
193,32.10287,34.812326,5,5,0.22,22,6,6,10,22,20706,48:12.5,48:12.5,16,0,0,15.949
194,32.10287,34.812326,5,5,0.22,22,6,6,10,22,20809,48:12.6,48:12.6,16,0,0,15.949
195,32.10287,34.812326,5,5,0,22,6,6,10,22,20916,48:12.7,48:12.7,16,0,0,15.949
196,32.102869,34.812326,5,5,0,22,6,6,10,22,21018,48:12.8,48:12.8,16,0,0,15.949
197,32.102869,34.812326,5,5,0,22,6,6,10,22,21321,48:13.1,48:13.1,16,0,0,15.949
198,32.102869,34.812326,5,5,0,22,6,6,10,22,21427,48:13.2,48:13.2,16,0,0,15.949
199,32.102869,34.812326,4,4,0,22,6,6,10,22,21630,48:13.4,48:13.4,16,0,0,16.058
200,32.102869,34.812326,4,4,0,22,6,6,10,22,21836,48:13.6,48:13.7,16,0,0,16.058
201,32.102869,34.812325,4,4,0,22,6,6,10,22,21939,48:13.8,48:13.8,16,0,0,16.058
202,32.102869,34.812325,4,4,0,22,6,6,10,22,22043,48:13.9,48:13.9,16,0,0,16.058
203,32.102869,34.812325,4,4,0,22,6,6,10,22,22146,48:14.0,48:14.0,16,0,0,16.058
204,32.102869,34.812325,4,4,0,22,6,6,10,22,22248,48:14.1,48:14.1,16,0,0,16.058
205,32.102869,34.812325,4,4,0,22,6,6,10,22,22353,48:14.2,48:14.2,16,0,0,16.058
206,32.102869,34.812325,4,4,0,22,6,6,10,22,22456,48:14.3,48:14.3,16,0,0,16.058
207,32.102869,34.812325,4,4,0.22,22,6,6,10,22,22559,48:14.4,48:14.4,16,0,0,16.058
208,32.102869,34.812325,4,4,0.22,22,6,6,10,22,22663,48:14.5,48:14.5,16,0,0,16.058
209,32.102869,34.812326,4,4,0.22,22,6,6,10,22,22767,48:14.6,48:14.6,16,0,0,15.986
210,32.102868,34.812326,4,4,0.22,22,6,6,10,22,22877,48:14.7,48:14.7,16,0,0,15.986
211,32.102868,34.812326,4,4,0.22,22,6,6,10,22,22980,48:14.8,48:14.8,16,0,0,15.986
212,32.102868,34.812326,4,4,0.45,22,6,6,10,22,23083,48:14.9,48:14.9,16,0,0,15.986
213,32.102868,34.812326,4,4,0.67,22,6,6,10,22,23186,48:15.0,48:15.0,16,0,0,15.986
214,32.102868,34.812327,4,4,0.92,22,6,6,10,22,23402,48:15.2,48:15.2,16,0,0,15.986
215,32.102869,34.812328,4,4,1.14,22,6,6,10,22,23505,48:15.3,48:15.3,16,0,0,15.986
216,32.102868,34.812328,4,4,0.89,22,6,6,10,22,23608,48:15.4,48:15.4,16,0,0,15.986
217,32.102868,34.812328,4,4,0.89,23,6,6,10,23,23711,48:15.5,48:15.5,16,0,0,15.986
218,32.102868,34.812329,4,4,0.89,23,6,6,10,23,23817,48:15.6,48:15.6,16,0,0,15.986
219,32.102868,34.812329,4,4,0.89,23,6,6,10,23,23921,48:15.7,48:15.7,16,0,0,16.016
220,32.102868,34.81233,4,4,1.12,23,6,6,10,23,24029,48:15.8,48:15.8,16,0,0,16.016
221,32.102868,34.812331,4,4,1.57,23,6,6,10,23,24132,48:15.9,48:15.9,16,0,0,16.016
222,32.102868,34.812332,4,4,1.8,24,6,6,10,24,24235,48:16.0,48:16.0,16,0,0,16.016
223,32.102868,34.812333,4,4,1.8,24,6,6,10,24,24338,48:16.2,48:16.2,16,0,0,16.016
224,32.102868,34.812334,4,4,2.06,24,6,6,10,24,24446,48:16.3,48:16.3,16,0,0,16.016
225,32.102869,34.812335,4,4,2.06,24,6,6,10,24,24550,48:16.4,48:16.4,16,0,0,16.016
226,32.102869,34.812337,4,4,2.28,25,6,6,10,25,24753,48:16.6,48:16.6,16,0,0,16.016
